"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-08-30 21:51:11",1756590671386,"smart-business-docs-ai-dev.vercel.app/api/test/token-debug","GET","",200,"9mllf-1756590671293-45160006c9ec","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","lambda","/api/test/token-debug","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",11,"iad1",139,2048,"","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFD1GT3SGRJY55Z02Q797B","oXT2xIMi3lhi",1
"2025-08-30 21:51:11",1756590671304,"smart-business-docs-ai-dev.vercel.app/api/test/token-debug","GET","",200,"9mllf-1756590671293-45160006c9ec","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","edge-middleware","/src/middleware","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"fra1",-1,-1,"","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFD1E8V4QPK1YFD88GHWZZ","SqA1uAkPYwcY",-1
"2025-08-30 21:50:17",1756590617886,"smart-business-docs-ai-dev.vercel.app/api/admin/dashboard","GET","",-1,"nx2ww-1756590612576-bad85f2b84f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","error","production","development","","lambda","/api/admin/dashboard","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"iad1",-1,-1,"Dashboard API error: Error [PrismaClientInitializationError]: 
Invalid `prisma.user.count()` invocation:


Can't reach database server at `aws-1-eu-central-1.pooler.supabase.com:5432`

Please make sure your database server is running at `aws-1-eu-central-1.pooler.supabase.com:5432`.
    at async x (.next/server/app/api/admin/dashboard/route.js:1:9566)
    at async k (.next/server/app/api/admin/dashboard/route.js:1:13626) {
  clientVersion: '6.14.0',
  errorCode: undefined,
  retryable: undefined
}","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB8AF9Q119HC9FTZACRNP","",-1
"2025-08-30 21:50:17",1756590617883,"smart-business-docs-ai-dev.vercel.app/api/admin/dashboard","GET","",-1,"nx2ww-1756590612576-bad85f2b84f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","lambda","/api/admin/dashboard","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"iad1",-1,-1,"prisma:error 
Invalid `prisma.user.findMany()` invocation:


Can't reach database server at `aws-1-eu-central-1.pooler.supabase.com:5432`

Please make sure your database server is running at `aws-1-eu-central-1.pooler.supabase.com:5432`.","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB8AF9Q119HC9FTZACRNP","",-1
"2025-08-30 21:50:17",1756590617883,"smart-business-docs-ai-dev.vercel.app/api/admin/dashboard","GET","",-1,"nx2ww-1756590612576-bad85f2b84f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","lambda","/api/admin/dashboard","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"iad1",-1,-1,"prisma:error 
Invalid `prisma.user.count()` invocation:


Can't reach database server at `aws-1-eu-central-1.pooler.supabase.com:5432`

Please make sure your database server is running at `aws-1-eu-central-1.pooler.supabase.com:5432`.","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB8AF9Q119HC9FTZACRNP","",-1
"2025-08-30 21:50:17",1756590617883,"smart-business-docs-ai-dev.vercel.app/api/admin/dashboard","GET","",-1,"nx2ww-1756590612576-bad85f2b84f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","lambda","/api/admin/dashboard","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"iad1",-1,-1,"prisma:error 
Invalid `prisma.user.count()` invocation:


Can't reach database server at `aws-1-eu-central-1.pooler.supabase.com:5432`

Please make sure your database server is running at `aws-1-eu-central-1.pooler.supabase.com:5432`.","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB8AF9Q119HC9FTZACRNP","",-1
"2025-08-30 21:50:17",1756590617883,"smart-business-docs-ai-dev.vercel.app/api/admin/dashboard","GET","",-1,"nx2ww-1756590612576-bad85f2b84f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","lambda","/api/admin/dashboard","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"iad1",-1,-1,"prisma:error 
Invalid `prisma.feedback.count()` invocation:


Can't reach database server at `aws-1-eu-central-1.pooler.supabase.com:5432`

Please make sure your database server is running at `aws-1-eu-central-1.pooler.supabase.com:5432`.","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB8AF9Q119HC9FTZACRNP","",-1
"2025-08-30 21:50:13",1756590613754,"smart-business-docs-ai-dev.vercel.app/en/admin/settings","GET","",200,"pj45l-1756590613540-ece5c1888909","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","lambda","/[locale]/admin/settings","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",21,"iad1",145,2048,"","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB97T319M0SDS41YQQGXD","n1IUAemLyIDw",1
"2025-08-30 21:50:13",1756590613557,"smart-business-docs-ai-dev.vercel.app/en/admin/system","GET","",200,"tx4rn-1756590613504-ef5fbe2c7531","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","edge-middleware","/src/middleware","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"fra1",-1,-1,"","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB91NTWR93SR4HZXS9R38","SqA1uAkPYwcY",-1
"2025-08-30 21:50:13",1756590613545,"smart-business-docs-ai-dev.vercel.app/en/admin/settings","GET","",200,"pj45l-1756590613540-ece5c1888909","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","development","","edge-middleware","/src/middleware","smart-business-docs-ai-dev.vercel.app","smart-business-docs-ai-dev.vercel.app","dpl_FgFpXQG1S8BUB5N2nKQPoDmYEsGV",-1,"fra1",-1,-1,"","prj_hvQeIBf6CH5RiunUsKTT4QaCJdDd","","","01K3YFB9196MXCP8Y1G4GKGH6B","wJG3gZf7Bk0a",-1
